ADD,                 <No ID Entered>,05/22/2025,13:05:50,13:07:13,      83,       0,       1,       6,     137,       0,       0,       0,       0
ADD,                 <No ID Entered>,05/22/2025,14:14:25,14:14:54,      29,       0,       0,       0,      22,       1,       0,       0,       0
ADD,                 <No ID Entered>,05/22/2025,14:17:04,14:18:42,      98,       0,       1,       4,      75,       0,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,14:23:25,14:23:34,       9,       0,       0,       0,      14,       0,       0,       0,       0
ADD,                 <No ID Entered>,05/22/2025,14:30:27,14:31:22,      55,       0,       1,       4,      96,       2,       0,       0,       0
ADD,                 <No ID Entered>,05/22/2025,14:49:59,14:50:52,      53,       0,       0,       0,     118,       2,       0,       0,       0
ADD,                 <No ID Entered>,05/22/2025,14:53:21,14:53:54,      33,       0,       0,       0,      41,       1,       0,       0,       0
ADD,                 <No ID Entered>,05/22/2025,14:54:39,14:55:27,      48,       0,       1,       6,     132,       0,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:04:41,15:04:49,       8,       0,       0,       0,      22,       0,       0,       0,       0
ADD,                 <No ID Entered>,05/22/2025,15:04:53,15:05:35,      42,       0,       0,       0,      62,       8,       0,       0,       0
ADD,                 <No ID Entered>,05/22/2025,15:06:24,15:08:10,     106,       0,       1,       6,      87,       1,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:08:14,15:08:23,       9,       0,       0,       0,      22,       0,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:08:25,15:10:25,     120,       0,       0,       0,      13,       0,       0,       0,       0
ADD,                 <No ID Entered>,05/22/2025,15:10:37,15:10:37,       0,       0,       0,       0,       1,       0,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:10:47,15:10:53,       6,       0,       0,       0,      22,       0,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:10:55,15:11:01,       6,       0,       0,       0,      22,       0,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:11:34,15:11:40,       6,       0,       0,       0,      22,       0,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:11:43,15:11:49,       6,       0,       0,       0,      22,       0,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:11:52,15:11:58,       6,       0,       0,       0,      22,       0,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:13:13,15:13:21,       8,       0,       0,       0,      22,       0,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:13:25,15:13:30,       5,       0,       0,       0,      22,       0,       0,       0,       0
ADD,                 <No ID Entered>,05/22/2025,15:13:33,15:13:46,      13,       0,       0,       0,       3,       3,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:13:49,15:13:54,       5,       0,       0,       0,      19,       0,       0,       0,       0
ADD,                 <No ID Entered>,05/22/2025,15:16:41,15:16:41,       0,       0,       0,       0,       1,       0,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:16:48,15:16:54,       6,       0,       0,       0,      22,       0,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:16:57,15:17:03,       6,       0,       0,       0,      22,       0,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:17:05,15:17:09,       4,       0,       0,       0,      22,       0,       0,       0,       0
ADD,                 <No ID Entered>,05/22/2025,15:18:06,15:18:07,       1,       0,       0,       0,       1,       0,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:18:12,15:18:20,       8,       0,       0,       0,      22,       0,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:18:22,15:18:26,       4,       0,       0,       0,      22,       0,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:19:12,15:19:17,       5,       0,       0,       0,      22,       0,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:19:18,15:19:23,       5,       0,       0,       0,      14,       0,       0,       0,       0
ADD,                 <No ID Entered>,05/22/2025,15:19:27,15:20:16,      49,       0,       1,       5,      80,       3,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:20:19,15:20:24,       5,       0,       0,       0,      22,       0,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:20:27,15:20:33,       6,       0,       0,       0,      18,       0,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:20:37,15:20:42,       5,       0,       0,       0,      18,       0,       0,       0,       0
ADD,                 <No ID Entered>,05/22/2025,15:20:46,15:23:07,     141,       0,       2,      10,     151,       6,       0,       0,       0
MOD,                 <No ID Entered>,05/22/2025,15:46:12,15:48:32,     140,       0,       0,       0,      17,       0,       0,       0,       0
ADD,                 <No ID Entered>,05/23/2025,13:00:49,13:01:36,      47,       0,       0,       0,      50,       1,       0,       0,       0
ADD,                 <No ID Entered>,05/23/2025,13:05:50,13:06:53,      63,       0,       1,       3,      73,       1,       0,       0,       0
